"codmunres";"ano";"nascidos_vivos_asfixia1";"total_de_nascidos_vivos"
120020;2020;17;638
120020;2021;6;677
120025;2012;0;110
120025;2013;0;103
120025;2014;2;104
120025;2015;1;116
120025;2016;2;114
120025;2017;1;208
120025;2018;3;225
120025;2019;3;251
120025;2020;0;222
120025;2021;0;222
120030;2012;0;222
120030;2013;1;304
120030;2014;4;307
120030;2015;0;295
120030;2016;3;327
120030;2017;7;397
120030;2018;5;451
120030;2019;3;527
120030;2020;5;497
120030;2021;4;510
120032;2012;0;53
120032;2013;1;63
120032;2014;2;93
120032;2015;2;101
120032;2016;1;82
120032;2017;2;99
120032;2018;1;100
120032;2019;0;95
120032;2020;0;99
120032;2021;2;119
120033;2012;4;284
120033;2013;3;276
120033;2014;0;305
120033;2015;0;279
120033;2016;0;245
120033;2017;0;276
120033;2018;0;264
120033;2019;1;242
120033;2020;1;298
120033;2021;0;263
120034;2012;3;173
120034;2013;2;171
120034;2014;1;160
120034;2015;2;174
120034;2016;1;184
120034;2017;1;188
120034;2018;1;175
120034;2019;3;197
120034;2020;2;195
120034;2021;3;174
120035;2012;2;174
120035;2013;3;203
120035;2014;3;191
120035;2015;1;186
120035;2016;2;165
120035;2017;0;151
120035;2018;1;139
120035;2019;3;194
120035;2020;4;199
120035;2021;2;239
120038;2012;3;206
120038;2013;1;205
120038;2014;0;180
120038;2015;3;214
120038;2016;1;239
120038;2017;2;243
120038;2018;2;235
120038;2019;1;246
120038;2020;1;225
120038;2021;0;154
120039;2012;2;190
120039;2013;1;161
120039;2014;2;174
120039;2015;4;195
120039;2016;1;173
120039;2017;2;221
120039;2018;2;186
120039;2019;0;221
120039;2020;5;210
120039;2021;4;255
120040;2012;12;1568
120040;2013;18;2004
120040;2014;15;1828
120040;2015;20;1536
120040;2016;17;1583
120040;2017;31;1917
120040;2018;27;1910
120040;2019;43;1823
120040;2020;20;1970
120040;2021;15;1574
120042;2012;1;242
120042;2013;0;233
120042;2014;3;269
120042;2015;3;259
120042;2016;0;207
120042;2017;0;249
120042;2018;3;245
120042;2019;1;229
