"ano","codmunres","locnasc_incompletos","locnasc_totais","tpnascassi_incompletos","tpnascassi_totais"
2013,"210545",0,37,0,37
2013,"210547",0,175,23,175
2013,"210550",0,204,1,204
2013,"210560",0,117,0,117
2013,"210565",0,76,2,76
2013,"210570",0,578,1,578
2013,"210580",0,87,2,87
2013,"210590",0,204,6,204
2013,"210592",0,96,0,96
2013,"210594",0,75,16,75
2013,"210596",0,166,9,166
2013,"210598",0,56,0,56
2013,"210600",0,96,0,96
2013,"210610",0,106,0,106
2013,"210620",0,67,5,67
2013,"210630",0,121,2,121
2013,"210632",0,242,1,242
2013,"210635",0,106,0,106
2013,"210637",0,129,3,129
2013,"210640",0,224,0,224
2013,"210650",0,315,4,315
2013,"210660",0,340,1,340
2013,"210663",0,66,0,66
2013,"210667",0,50,0,50
2013,"210670",0,159,1,159
2013,"210675",0,105,1,105
2013,"210680",0,166,11,166
2013,"210690",0,449,2,449
2013,"210700",0,97,0,97
2013,"210710",0,215,34,215
2013,"210720",0,161,1,161
2013,"210725",0,54,0,54
2013,"210730",0,31,2,31
2013,"210735",0,220,0,220
2013,"210740",0,131,49,131
2013,"210745",0,145,13,145
2013,"210750",0,936,1,936
2013,"210760",0,197,4,197
2013,"210770",0,192,0,192
2013,"210780",0,352,3,352
2013,"210790",0,281,0,281
2013,"210800",0,210,0,210
2013,"210805",0,240,2,240
2013,"210810",0,267,0,267
2013,"210820",0,284,0,284
2013,"210825",0,251,62,251
2013,"210830",0,526,4,526
2013,"210840",0,97,0,97
2013,"210845",0,234,0,234
2013,"210850",0,279,0,279
2013,"210860",0,952,1,952
2013,"210870",0,272,1,272
2013,"210880",0,186,0,186
2013,"210890",0,96,1,96
2013,"210900",0,198,0,198
2013,"210905",0,65,8,65
2013,"210910",0,324,20,324
2013,"210920",0,171,8,171
2013,"210923",0,58,2,58
2013,"210927",0,272,2,272
2013,"210930",0,124,1,124
2013,"210940",0,152,5,152
2013,"210945",0,325,1,325
2013,"210950",0,185,0,185
2013,"210955",0,89,0,89
2013,"210960",0,359,10,359
2013,"210970",0,49,0,49
2013,"210975",0,52,2,52
2013,"210980",0,427,1,427
2013,"210990",0,904,1,904
2013,"211000",0,860,12,860
2013,"211003",0,260,0,260
2013,"211010",0,355,1,355
