"codmunres","ano","garbage_materno_o95","garbage_materno_o94","garbage_materno_f53","garbage_materno_d39","garbage_materno_o08","obitos_maternos_totais","garbage_fetal_p90_p96","garbage_fetal_q80_q89","garbage_fetal_q90_q99","garbage_fetal_q35_q37","garbage_fetal_q10_q18","obitos_fetais_totais"
"110120",2017,0,0,0,0,0,0,0,0,0,0,0,0
"110120",2018,0,0,0,0,0,0,2,0,0,0,0,2
"110120",2019,0,0,0,0,0,0,2,0,0,0,0,3
"110120",2020,0,0,0,0,0,0,0,1,0,0,0,3
"110120",2021,0,0,0,0,0,0,0,0,0,0,0,1
"110120",2022,0,0,0,0,0,0,0,0,0,0,0,0
"110130",2012,0,0,0,0,0,0,1,3,0,0,0,5
"110130",2013,0,0,0,0,0,0,1,0,0,0,0,3
"110130",2014,0,0,0,0,0,0,2,0,0,0,0,3
"110130",2015,0,0,0,0,0,0,0,0,0,0,0,0
"110130",2016,0,0,0,0,0,0,0,0,0,0,0,0
"110130",2017,0,0,0,0,0,0,0,0,0,0,0,3
"110130",2018,0,0,0,0,0,0,0,0,0,0,0,0
"110130",2019,0,0,0,0,0,0,0,0,0,0,0,1
"110130",2020,0,0,0,0,0,0,0,0,0,0,0,0
