CODMUNRES,ANO,subregistro_SINASC,subregistro_SIM
140010,2016,2.3978,5.0831
140010,2017,1.6145,3.4418
140010,2018,1.6549,2.418
140010,2019,1.8165,2.3051
140015,2015,9.8085,8.3379
140015,2016,9.4917,14.0292
140015,2017,4.7509,2.5415
140015,2018,3.7819,2.2306
140015,2019,3.1327,0.7677
140017,2015,9.325,1.8687
140017,2016,6.3291,0.9706
140017,2017,2.2425,3.8585
140017,2018,4.8098,2.1027
140017,2019,1.4136,5.8631
140020,2015,5.2774,4.0822
140020,2016,9.5501,3.112
140020,2017,4.5351,3.1904
140020,2018,3.6786,1.7245
140020,2019,3.6694,2.7893
140023,2015,2.2744,10.529
140023,2016,1.5374,8.634
140023,2017,0.8638,0.8787
140023,2018,1.1593,0.9187
140023,2019,3.108,0.6227
140028,2015,10.7571,0.9667
140028,2016,3.8469,5.1931
140028,2017,3.6767,1.0182
140028,2018,3.399,2.0569
140028,2019,2.7219,0.601
140030,2015,5.0595,4.1359
140030,2016,4.0573,4.7717
140030,2017,1.7525,0.7739
140030,2018,1.4328,5.4837
140030,2019,1.092,1.7265
140040,2015,8.5456,3.3153
140040,2016,10.0057,8.1756
140040,2017,3.0566,3.6579
140040,2018,2.8118,0.6137
140040,2019,4.2953,5.1234
140045,2015,9.1077,0.4477
140045,2016,22.118,4.272
140045,2017,20.4327,5.2256
140045,2018,23.5398,10.2419
140045,2019,24.7153,7.2581
140047,2015,6.0926,3.9266
140047,2016,3.0855,1.1178
140047,2017,1.0995,1.6543
140047,2018,1.0314,1.5106
140047,2019,0.5936,4.259
140050,2015,11.4022,3.7802
140050,2016,5.0413,7.15
140050,2017,0.2258,0.3846
140050,2018,2.2003,8.5153
140050,2019,1.7597,5.6847
140060,2015,4.5877,0.2771
140060,2016,8.4741,6.8508
140060,2017,3.4561,0.5178
140060,2018,0.453,0.6286
140060,2019,3.9816,0.7229
140070,2015,7.5182,6.8554
140070,2016,21.2376,4.4835
140070,2017,30.2507,1.4714
140070,2018,23.8948,1.1747
140070,2019,17.0056,5.3371
150010,2015,3.032,7.5453
150010,2016,2.4449,3.6027
150010,2017,1.6002,3.6234
150010,2018,1.3725,2.4353
150010,2019,1.3471,1.673
150013,2015,1.6523,5.6904
150013,2016,4.7091,4.7919
150013,2017,2.2167,9.1066
150013,2018,7.6595,4.5955
150013,2019,2.2411,2.4646
150020,2015,6.9626,14.0918
150020,2016,7.2289,10.7471
150020,2017,3.8749,7.6004
150020,2018,3.043,8.5468
150020,2019,1.4574,7.9869
150030,2015,20.5484,12.952
150030,2016,12.1651,7.6804
150030,2017,10.3339,5.7987
150030,2018,10.3947,9.6293
150030,2019,5.2135,5.9725
150034,2015,1.0153,1.4699
150034,2016,1.0365,1.2751
150034,2017,0.2413,1.4054
150034,2018,0.6417,1.1899
150034,2019,0.0979,0.6484
150040,2015,2.8015,4.5886
150040,2016,1.5903,5.7578
150040,2017,1.6255,5.006
150040,2018,1.4456,11.9377
150040,2019,2.0322,2.7038
150050,2015,3.2203,7.5083
150050,2016,2.793,7.8868
150050,2017,2.3955,4.0362
150050,2018,1.0905,3.9127
150050,2019,0.2297,2.1121
150060,2015,3.6574,9.9634
150060,2016,0.5621,2.1907
150060,2017,0.4959,1.3072
150060,2018,0.5742,1.628
150060,2019,0.2426,1.361
150070,2015,15.8398,28.8045
150070,2016,6.2937,17.7639
150070,2017,3.914,16.8495
150070,2018,2.9647,10.6149
150070,2019,2.5052,9.2445
150080,2015,1.4157,2.5231
150080,2016,1.89,2.122
150080,2017,1.7456,2.4838
150080,2018,0.681,2.2434
150080,2019,0.3566,1.3792
150085,2015,3.2289,3.7534
150085,2016,1.092,3.0003
150085,2017,1.315,1.1387
150085,2018,0.6349,23.6083
150085,2019,0.2596,4.1531
150090,2015,4.2507,9.8671
150090,2016,2.8541,9.708
150090,2017,3.252,7.4117
150090,2018,2.4938,5.3649
150090,2019,3.1329,8.6237
150095,2015,1.5928,2.8611
150095,2016,1.4802,3.5477
150095,2017,2.5246,1.9809
