"codmunres";"ano";"anomalia";"grupo_de_anomalias_congenitas";"descricao";"nascidos_vivos_anomalia"
110006;2024;"Q219";"Cardiopatias congênitas";"Malformações congênitas dos septos cardíacos";1
110007;2013;"Q664";"Defeitos de membros";"Deformidades congênitas do pé";1
110007;2013;"Q664";"Defeitos de membros";"Deformidades congênitas do pé";1
110007;2014;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110007;2015;"Q661";"Defeitos de membros";"Deformidades congênitas do pé";1
110007;2016;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110007;2016;"Q665";"Defeitos de membros";"Deformidades congênitas do pé";1
110007;2017;"Q664";"Defeitos de membros";"Deformidades congênitas do pé";1
110007;2021;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110007;2023;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110007;2024;"Q699";"Defeitos de membros";"Polidactilia";1
110008;2012;"Q699";"Defeitos de membros";"Polidactilia";1
110008;2012;"Q666";"Defeitos de membros";"Deformidades congênitas do pé";1
110008;2014;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110008;2014;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110008;2014;"Q549";"Defeitos de órgãos genitais";"Hipospadia";1
110008;2014;"Q052";"Defeitos de tubo neural";"Espinha bifida";1
110008;2015;"Q660";"Defeitos de membros";"Deformidades congênitas do pé";1
110008;2017;"Q248";"Cardiopatias congênitas";"Outras malformações congênitas do coração";1
110008;2018;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110008;2018;"Q359";"Fendas orais";"Fenda palatina";1
110008;2019;"Q548";"Defeitos de órgãos genitais";"Hipospadia";1
110008;2019;"Q699";"Defeitos de membros";"Polidactilia";1
110008;2021;"Q370";"Fendas orais";"Fenda labial com fenda palatina";1
110008;2021;"Q909";"Síndrome de Down";"Síndrome de Down";1
110008;2023;"Q211";"Cardiopatias congênitas";"Malformações congênitas dos septos cardíacos";1
110008;2023;"Q370";"Fendas orais";"Fenda labial com fenda palatina";1
110008;2023;"Q375";"Fendas orais";"Fenda labial com fenda palatina";1
110009;2012;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110009;2012;"Q669";"Defeitos de membros";"Deformidades congênitas do pé";1
110009;2012;"Q668";"Defeitos de membros";"Deformidades congênitas do pé";1
110009;2013;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110009;2014;"Q02X";"Microcefalia";"Microcefalia";1
110009;2014;"Q792";"Defeitos da parede abdominal";"Exonfalia";1
110009;2018;"Q000";"Defeitos de tubo neural";"Anencefalia";1
110009;2018;"Q793";"Defeitos da parede abdominal";"Gastrosquise";1
110009;2019;"Q059";"Defeitos de tubo neural";"Espinha bifida";1
110009;2020;"Q359";"Fendas orais";"Fenda palatina";1
110009;2021;"Q909";"Síndrome de Down";"Síndrome de Down";1
110009;2021;"Q699";"Defeitos de membros";"Polidactilia";1
110009;2021;"Q909";"Síndrome de Down";"Síndrome de Down";1
110009;2021;"Q359";"Fendas orais";"Fenda palatina";1
