"codmunres","ano","obitos_fetais_mais_28sem","peso_menos_1500_mais_28sem","peso_1500_1999_mais_28sem","peso_2000_2499_mais_28sem","peso_mais_2500_mais_28sem"
130190,2017,17,6,3,1,7
130190,2018,14,4,1,4,5
130190,2019,23,6,3,4,10
130190,2020,24,8,3,5,8
130195,2012,1,0,0,1,0
130195,2014,1,0,0,1,0
130195,2015,1,0,0,0,1
130195,2016,2,0,0,0,2
130195,2018,4,0,0,1,1
130195,2019,4,0,0,1,2
130195,2020,4,0,0,2,2
130200,2012,2,0,1,0,1
130200,2013,4,1,1,1,1
130200,2014,1,1,0,0,0
130200,2015,2,0,0,1,1
130200,2016,4,0,2,1,1
130200,2017,2,1,0,0,1
130200,2018,1,0,0,0,1
130200,2019,3,3,0,0,0
130200,2020,3,1,1,1,0
130210,2012,1,1,0,0,0
130210,2013,1,0,0,0,1
130210,2016,5,0,1,1,3
130210,2017,2,0,0,0,1
130210,2019,5,1,0,0,4
130210,2020,1,1,0,0,0
130220,2012,1,0,0,1,0
130220,2014,1,1,0,0,0
130220,2015,3,0,1,1,1
130220,2016,2,0,0,0,1
130220,2017,1,0,1,0,0
130220,2018,2,0,0,0,2
130220,2020,2,0,0,1,1
130230,2012,1,0,0,0,1
130230,2013,1,0,0,0,0
130230,2014,2,0,0,1,1
130230,2015,5,1,0,1,3
130230,2016,4,0,0,1,3
130230,2017,1,1,0,0,0
130230,2018,7,1,1,1,4
130230,2019,6,1,0,1,3
130230,2020,8,1,0,3,4
130240,2012,7,1,1,0,4
130240,2013,7,1,0,0,5
130240,2014,12,3,4,0,5
130240,2015,11,1,1,1,7
130240,2016,10,3,1,0,3
130240,2017,8,2,1,1,4
130240,2018,11,3,3,1,4
130240,2019,7,2,0,1,2
130240,2020,5,0,0,2,3
130250,2012,8,5,0,1,2
130250,2013,11,3,1,2,5
130250,2014,18,2,5,3,8
130250,2015,22,2,3,4,13
130250,2016,17,3,5,1,8
130250,2017,18,2,5,4,6
130250,2018,11,2,3,0,5
130250,2019,19,6,1,3,8
130250,2020,14,1,6,4,3
130255,2014,2,0,0,0,2
130255,2015,3,0,0,0,2
130255,2016,3,1,0,0,2
130255,2017,3,0,1,1,1
130255,2018,1,0,1,0,0
130255,2019,1,0,0,0,1
130255,2020,5,0,2,1,2
130260,2012,348,85,56,57,136
130260,2013,318,72,58,52,133
130260,2014,367,90,83,48,132
130260,2015,379,101,59,71,142
130260,2016,340,98,59,47,132
130260,2017,314,89,51,52,121
130260,2018,344,95,65,45,131
130260,2019,317,83,43,66,116
130260,2020,338,91,59,50,136
130270,2012,6,4,0,0,2
130270,2013,4,0,2,0,2
130270,2014,12,3,1,3,5
130270,2015,9,2,1,2,3
130270,2016,16,3,2,1,6
130270,2017,10,3,0,1,4
130270,2018,1,0,0,1,0
130270,2019,14,4,3,2,5
130270,2020,15,2,3,3,6
130280,2012,4,1,0,1,2
130280,2014,2,0,0,1,1
130280,2015,3,1,0,1,1
130280,2016,3,0,1,2,0
130280,2017,4,0,0,2,2
130280,2018,1,1,0,0,0
130280,2019,4,0,0,1,3
130280,2020,2,0,0,0,2
130290,2012,19,3,3,1,12
130290,2013,12,0,2,4,6
130290,2014,8,2,2,2,2
130290,2015,8,2,1,1,4
130290,2016,17,4,2,2,9
130290,2017,18,9,1,2,6
130290,2018,10,0,1,1,8
130290,2019,10,1,1,1,7
130290,2020,15,1,3,1,10
130300,2012,3,1,0,0,2
130300,2013,1,0,1,0,0
130300,2014,3,1,0,0,2
130300,2015,3,1,0,0,1
130300,2016,6,0,1,0,5
130300,2017,2,0,0,0,2
130300,2018,3,1,1,0,1
130300,2019,1,0,0,0,1
130300,2020,2,0,1,0,1
130310,2012,2,1,1,0,0
130310,2013,3,0,1,0,2
130310,2014,3,1,1,0,1
130310,2015,6,1,2,0,3
