"","CODMUNRES","ANO","INCOMPLETUDE","TOTAIS","UF"
"7966","313030",2021,0,62,"MG"
"7967","313030",2023,0,56,"MG"
"7968","313040",2021,0,77,"MG"
"7969","313040",2022,0,79,"MG"
"7970","313040",2023,0,74,"MG"
"7971","313050",2021,0,137,"MG"
"7972","313050",2022,0,145,"MG"
"7973","313055",2021,0,84,"MG"
"7974","313055",2022,0,78,"MG"
"7975","313070",2023,0,49,"MG"
"7976","313080",2021,0,22,"MG"
"7977","313080",2022,0,24,"MG"
"7978","313080",2023,0,28,"MG"
"7979","313090",2021,0,255,"MG"
"7980","313100",2021,0,72,"MG"
"7981","313100",2022,0,59,"MG"
"7982","313100",2023,0,72,"MG"
"7983","313110",2021,0,65,"MG"
"7984","313110",2022,0,67,"MG"
"7985","313115",2021,0,247,"MG"
"7986","313120",2021,0,228,"MG"
"7987","313140",2021,0,42,"MG"
"7988","313140",2023,0,45,"MG"
"7989","313160",2022,0,82,"MG"
"7990","313160",2023,0,100,"MG"
"7991","313190",2021,0,743,"MG"
"7992","313200",2021,0,40,"MG"
"7993","313200",2022,0,29,"MG"
"7994","313200",2023,0,23,"MG"
"7995","313210",2021,0,259,"MG"
"7996","313210",2022,0,233,"MG"
"7997","313220",2021,0,170,"MG"
"7998","313220",2022,0,161,"MG"
"7999","313220",2023,0,156,"MG"
"8000","313260",2021,0,38,"MG"
"8001","313260",2023,0,38,"MG"
"8002","313280",2022,0,15,"MG"
"8003","313290",2023,0,155,"MG"
"8004","313300",2021,0,183,"MG"
"8005","313300",2022,0,171,"MG"
"8006","313300",2023,0,160,"MG"
"8007","313310",2021,0,178,"MG"
"8008","313310",2022,0,154,"MG"
"8009","313310",2023,0,160,"MG"
"8010","313330",2021,0,249,"MG"
"8011","313330",2023,0,237,"MG"
"8012","313340",2021,0,94,"MG"
"8013","313340",2022,0,101,"MG"
"8014","313340",2023,0,90,"MG"
"8015","313350",2021,0,179,"MG"
"8016","313350",2022,0,150,"MG"
"8017","313350",2023,0,180,"MG"
"8018","313370",2021,0,126,"MG"
"8019","313370",2022,0,119,"MG"
"8020","313370",2023,0,140,"MG"
"8021","313375",2021,0,151,"MG"
"8022","313375",2022,0,145,"MG"
"8023","313375",2023,0,143,"MG"
"8024","313390",2021,0,49,"MG"
"8025","313390",2022,0,43,"MG"
"8026","313410",2021,0,84,"MG"
"8027","313420",2022,0,1038,"MG"
"8028","313430",2021,0,68,"MG"
"8029","313430",2022,0,59,"MG"
"8030","313430",2023,0,46,"MG"
"8031","313440",2021,0,497,"MG"
"8032","313450",2021,0,51,"MG"
"8033","313450",2022,0,39,"MG"
"8034","313450",2023,0,50,"MG"
"8035","313460",2023,0,184,"MG"
"8036","313480",2021,0,84,"MG"
"8037","313480",2022,0,104,"MG"
"8038","313480",2023,0,93,"MG"
"8039","313500",2021,0,23,"MG"
"8040","313500",2022,0,29,"MG"
"8041","313520",2021,0,960,"MG"
"8042","313530",2021,0,60,"MG"
"8043","313530",2022,0,53,"MG"
"8044","313530",2023,0,43,"MG"
"8045","313535",2021,0,92,"MG"
"8046","313535",2023,0,85,"MG"
"8047","313540",2021,0,54,"MG"
"8048","313540",2023,0,54,"MG"
"8049","313550",2021,0,127,"MG"
"8050","313550",2022,0,112,"MG"
"8051","313550",2023,0,126,"MG"
"8052","313560",2021,0,65,"MG"
"8053","313560",2022,0,69,"MG"
"8054","313560",2023,0,78,"MG"
"8055","313570",2021,0,59,"MG"
"8056","313570",2022,0,54,"MG"
"8057","313570",2023,0,61,"MG"
"8058","313590",2021,0,55,"MG"
"8059","313590",2022,0,59,"MG"
"8060","313590",2023,0,41,"MG"
"8061","313600",2021,0,199,"MG"
"8062","313600",2023,0,171,"MG"
"8063","313610",2021,0,34,"MG"
"8064","313610",2022,0,35,"MG"
"8065","313630",2021,0,694,"MG"
"8066","313652",2022,0,39,"MG"
