UF,ANO,NOME,local,não_local,dentro_regiao_saude,dentro_macrorregiao_saude,fora_macrorregiao_saude,outra_uf,destino_total,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,km_partos_na_região,km_partos_na_região_alta_complexidade,km_partos_na_região_baixa_complexidade,km_partos_na_macrorregião,km_partos_na_macrorregião_alta_complexidade,km_partos_na_macrorregião_baixa_complexidade,km_partos_fora_macrorregião,km_partos_fora_macrorregião_alta_complexidade,km_partos_fora_macrorregião_baixa_complexidade,km_partos_fora_UF,km_partos_fora_UF_alta_complexidade,km_partos_fora_UF_baixa_complexidade
23.0,2012, Ceará,88555.0,38313.0,23646.0,11742.0,2462.0,463.0,126868.0,42.9436,50.0721,38.1959,38.2588,34.6441,45.9573,50.0721,52.7402,42.8951,169.6148,212.3084,102.0877,100.8572,90.8422,115.58
23.0,2013, Ceará,86989.0,37887.0,24061.0,11122.0,2285.0,419.0,124876.0,44.157,52.7402,37.3835,38.2588,44.5082,34.8796,52.7402,55.9577,50.0721,169.6864,212.3084,111.4373,90.8422,61.9241,107.0245
23.0,2014, Ceará,87656.0,41025.0,25740.0,12458.0,2369.0,458.0,128681.0,42.5939,49.9684,37.3835,38.2588,44.157,34.436,51.1905,52.7402,49.0555,169.6864,212.3084,102.0877,109.12415,76.7682,115.58
23.0,2015, Ceará,89226.0,43290.0,26400.0,14000.0,2479.0,411.0,132516.0,40.5328,48.1572,34.8796,37.3835,44.157,33.0914,40.9783,50.0721,35.0362,169.6864,212.3084,118.6686,107.0245,89.2446,115.58
23.0,2016, Ceará,83181.0,43065.0,26465.0,13767.0,2386.0,447.0,126246.0,41.7616,49.9684,36.96695,38.1959,44.5082,33.6481,49.0555,52.7402,40.9783,183.5003,212.3084,149.33385,90.8422,89.2446,107.0245
23.0,2017, Ceará,84283.0,43514.0,27479.0,13317.0,2283.0,435.0,127797.0,41.9954,53.2763,34.8796,38.1959,44.5082,33.4835,51.7955,55.9577,35.1024,183.5003,200.7679,107.4631,90.8422,76.7682,115.58
23.0,2018, Ceará,84421.0,47070.0,29948.0,13909.0,2741.0,472.0,131491.0,42.9436,55.9577,34.6441,37.3835,45.9573,32.4542,52.7402,70.1555,41.1663,178.7407,203.5466,111.1801,90.8422,89.2446,115.58
23.0,2019, Ceará,82467.0,46718.0,29421.0,13901.0,2913.0,483.0,129185.0,42.9436,55.9577,34.436,38.1959,45.9573,41.3556391263307,52.7402,62.2307,35.0362,170.6527,200.7679,100.64145,89.2446,86.437,102.0505
23.0,2020, Ceará,77328.0,44576.0,27299.0,14014.0,2758.0,505.0,121904.0,44.157,53.2763,37.0771,38.2588,44.157,33.4835,51.7955,55.9577,42.5461,169.6864,183.5003,120.825,73.2013,89.2446,55.7117
24.0,2012, Rio Grande do Norte,27020.0,19973.0,11409.0,7524.0,891.0,149.0,46993.0,41.495,51.8225,33.5969,27.0942,28.6875,23.5189,74.5324,74.7675,60.5388,203.7155,251.33165,84.7052,138.6733,239.4912,47.3561
24.0,2013, Rio Grande do Norte,26549.0,20249.0,12150.0,7275.0,635.0,189.0,46798.0,41.495,50.2707,36.6535,28.6875,23.5189,31.4223,74.5324,74.6607,63.6148,191.9381,211.23065,91.7871,112.5294,239.4912,46.0314
24.0,2014, Rio Grande do Norte,26426.0,21685.0,13348.0,7217.0,951.0,169.0,48111.0,41.6983,50.2707,36.6535,29.0794,23.5189,31.4223,77.5416,77.5416,74.168,141.1851,215.4549,62.2285,147.6836,239.4912,46.0314
24.0,2015, Rio Grande do Norte,26438.0,22661.0,13625.0,7973.0,861.0,202.0,49099.0,42.6315,50.2707,40.7649,30.3576,23.5189,32.5607,75.1782,77.5416,74.1389,172.7041,210.2901,62.2285,112.5294,239.4912,46.0314
24.0,2016, Rio Grande do Norte,24437.0,20929.0,12652.0,7489.0,624.0,164.0,45366.0,42.6315,50.2707,40.5469,31.4223,26.6889,32.4209,74.7675,77.5416,71.0527,180.6092,191.9381,91.7871,159.7075,239.4912,46.0314
24.0,2017, Rio Grande do Norte,24049.0,22173.0,13329.0,8083.0,606.0,155.0,46222.0,44.1476,51.5935,40.8345,29.6126,23.5189,32.4209,77.5416,79.3954,74.1389,199.67865,210.2901,114.9962,176.1527,239.4912,53.0493
24.0,2018, Rio Grande do Norte,24987.0,23120.0,14062.0,8295.0,605.0,158.0,48107.0,46.0947,54.7231,42.6315,33.654,29.0794,34.3051,79.3954,79.3954,79.4196,191.9381,180.6092,195.2653,119.21085,239.4912,56.863
24.0,2019, Rio Grande do Norte,22662.0,21369.0,12925.0,7805.0,452.0,187.0,44031.0,46.8206,56.0543,42.6315,36.6535,36.9739,38.6000594409862,79.4196,80.2165,79.4196,180.6092,180.6092,295.4858,112.0061,268.344,46.0314
24.0,2020, Rio Grande do Norte,22206.0,21325.0,13099.0,7660.0,407.0,159.0,43531.0,49.301,62.6855,42.6315,36.9739,36.9739,40.5871,80.2165,80.7871,76.0416,180.6092,180.6092,295.4858,108.2213,166.2946,46.0314
25.0,2012, Paraíba,28464.0,28306.0,15186.0,9984.0,1938.0,1198.0,56770.0,43.2581,46.8288,37.708,30.0945,30.6168,28.2447,60.0952,62.3266,50.0301,72.8312,87.4236,69.6516,55.7954,117.7856,47.1632
25.0,2013, Paraíba,28573.0,28281.0,15289.0,10083.0,1992.0,917.0,56854.0,44.2942,46.8288,38.2414,30.6168,30.6498,30.6168,61.1198,62.3266,56.4789,72.8312,81.5549,60.5057,48.3888,117.7856,41.2722
25.0,2014, Paraíba,28414.0,29121.0,15757.0,10367.0,1988.0,1009.0,57535.0,44.8741,48.4069,31.2464,30.3351,31.7984,29.4699,61.1198,61.1198,51.4272,78.4763,81.5549,51.2103,55.3757,89.437,42.9559
25.0,2015, Paraíba,29537.0,29552.0,16824.0,9769.0,2016.0,943.0,59089.0,42.4049,47.1117,30.8212,30.1338,31.7984,29.4699,61.1198,61.1198,50.1692,72.8312,74.1323,47.7976,56.3862,75.6735,53.6055
25.0,2016, Paraíba,28234.0,27849.0,16047.0,9117.0,1756.0,929.0,56083.0,41.5398,44.8741,31.3556,30.6168,31.7984,29.7105,57.9314,57.4423,59.8928,72.8312,72.8312,40.2656,58.1211,75.6735,58.1211
25.0,2017, Paraíba,29108.0,28385.0,16614.0,9244.0,1697.0,830.0,57493.0,41.9684,45.3736,31.2464,30.515,33.0719,28.6868,60.0952,59.62185,63.0561,72.8312,72.6777,131.1919,65.4063,102.6668,56.3862
25.0,2018, Paraíba,30380.0,29825.0,17525.0,9535.0,1783.0,982.0,60205.0,40.5657,44.6279,31.3556,30.1149,31.7984,29.4699,58.3917,57.4423,63.0561,72.8312,72.8312,140.9172,65.4063,102.289,56.3862
25.0,2019, Paraíba,28934.0,28767.0,17217.0,8816.0,1670.0,1064.0,57701.0,40.2226,44.2942,31.3556,30.1338,31.7984,31.4442832571996,57.4423,57.1222,66.1191,72.8312,72.8312,229.0301,72.7769,107.508,67.5076
25.0,2020, Paraíba,28326.0,28053.0,17304.0,8239.0,1517.0,993.0,56379.0,39.5731,43.2581,33.2307,30.1338,31.7984,29.7105,61.1198,60.0952,68.3416,72.8312,72.8312,244.5315,73.0522,112.988,65.4063
26.0,2012, Pernambuco,70989.0,70393.0,51291.0,10161.0,7280.0,1661.0,141382.0,29.8527,33.9457,29.0571,23.8586,23.8586,23.8586,74.6701,83.3585,66.0183,133.9918,151.9801,101.2754,57.9111,61.1344,57.9111
26.0,2013, Pernambuco,69782.0,71671.0,53206.0,10002.0,6661.0,1802.0,141453.0,31.089,29.1782,33.5347,23.8586,23.8586,23.8586,71.4644,82.7269,64.3757,133.9918,178.2883,88.3927,61.696,62.6321,61.696
26.0,2014, Pernambuco,69120.0,74369.0,53171.0,11218.0,7765.0,2215.0,143489.0,31.8749,31.7659,31.8749,23.8586,23.8586,23.8586,74.8141,83.3585,68.0793,136.87475,184.3767,126.9187,56.8201,65.448,31.2058
26.0,2015, Pernambuco,68926.0,76098.0,52865.0,12390.0,8341.0,2502.0,145024.0,33.7821,31.089,34.2449,23.8586,23.8586,23.8586,74.8141,83.6652,68.0793,141.8359,184.3767,128.9363,56.8201,62.6321,31.2058
26.0,2016, Pernambuco,61838.0,68895.0,47776.0,10855.0,7574.0,2690.0,130733.0,33.9457,33.1797,34.2449,23.8586,23.8586,23.8586,71.5794,83.3585,64.3757,136.0034,170.1,122.499,45.4326,56.8201,31.2058
26.0,2017, Pernambuco,63863.0,72069.0,50825.0,10752.0,7535.0,2957.0,135932.0,33.9457,34.2449,32.5421,23.8586,23.8586,25.7668,74.8141,83.3585,61.0374,133.9918,138.6641,85.2347,45.4326,52.8738,31.2058
26.0,2018, Pernambuco,64424.0,73893.0,50154.0,11220.0,9037.0,3482.0,138317.0,34.2449,34.2449,34.2449,23.8586,23.8586,26.8237,74.1895,82.7269,60.3817,133.9918,133.9918,88.3927,41.2836,52.8738,29.6403
26.0,2019, Pernambuco,61283.0,72076.0,47072.0,12657.0,9286.0,3061.0,133359.0,35.8827,38.7487,34.2449,23.8586,23.8586,34.3060426198476,76.0109,83.0688,66.5752,133.9918,139.6357,115.6174,43.9654,43.9654,31.2058
26.0,2020, Pernambuco,58079.0,70402.0,46176.0,11772.0,9857.0,2597.0,128481.0,36.6106,47.546,29.9227,23.8586,23.8586,23.8586,74.8141,83.0688,62.384,133.9918,135.5907,122.1029,57.9111,98.218,31.2058
