"codmunres","municipio","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","uf","idhm"
"146",140040,"Normandia","Norte",14001,"Centro Norte",1401,"Macro-Roraima","Roraima","0.594"
"147",140045,"Pacaraima","Norte",14001,"Centro Norte",1401,"Macro-Roraima","Roraima","0.65"
"148",140047,"Rorainópolis","Norte",14002,"Sul",1401,"Macro-Roraima","Roraima","0.619"
"149",140050,"São João da Baliza","Norte",14002,"Sul",1401,"Macro-Roraima","Roraima","0.655"
"150",140060,"São Luiz","Norte",14002,"Sul",1401,"Macro-Roraima","Roraima","0.649"
"151",140070,"Uiramutã","Norte",14001,"Centro Norte",1401,"Macro-Roraima","Roraima","0.453"
"152",150010,"Abaetetuba","Norte",15011,"Tocantins",1512,"Macrorregional I","Pará","0.628"
"153",150013,"Abel Figueiredo","Norte",15003,"Carajás",1509,"Macrorregional IV","Pará","0.622"
"154",150020,"Acará","Norte",15007,"Metropolitana II",1511,"Macrorregional II","Pará","0.506"
"155",150030,"Afuá","Norte",15013,"Marajó I",1512,"Macrorregional I","Pará","0.489"
"156",150034,"Água Azul do Norte","Norte",15001,"Araguaia",1509,"Macrorregional IV","Pará","0.564"
"157",150040,"Alenquer","Norte",15002,"Baixo Amazonas",1510,"Macrorregional III","Pará","0.564"
"158",150050,"Almeirim","Norte",15002,"Baixo Amazonas",1510,"Macrorregional III","Pará","0.642"
"159",150060,"Altamira","Norte",15012,"Xingu",1510,"Macrorregional III","Pará","0.665"
"160",150070,"Anajás","Norte",15014,"Marajó II",1512,"Macrorregional I","Pará","0.484"
"161",150080,"Ananindeua","Norte",15006,"Metropolitana I",1512,"Macrorregional I","Pará","0.718"
"162",150085,"Anapu","Norte",15012,"Xingu",1510,"Macrorregional III","Pará","0.548"
"163",150090,"Augusto Corrêa","Norte",15009,"Rio Caetés",1511,"Macrorregional II","Pará","0.52"
"164",150095,"Aurora do Pará","Norte",15008,"Metropolitana III",1511,"Macrorregional II","Pará","0.519"
"165",150100,"Aveiro","Norte",15010,"Tapajós",1510,"Macrorregional III","Pará","0.541"
"166",150110,"Bagre","Norte",15014,"Marajó II",1512,"Macrorregional I","Pará","0.471"
"167",150120,"Baião","Norte",15011,"Tocantins",1512,"Macrorregional I","Pará","0.578"
"168",150125,"Bannach","Norte",15001,"Araguaia",1509,"Macrorregional IV","Pará","0.594"
"169",150130,"Barcarena","Norte",15011,"Tocantins",1512,"Macrorregional I","Pará","0.662"
"170",150140,"Belém","Norte",15006,"Metropolitana I",1512,"Macrorregional I","Pará","0.746"
"171",150145,"Belterra","Norte",15002,"Baixo Amazonas",1510,"Macrorregional III","Pará","0.588"
"172",150150,"Benevides","Norte",15006,"Metropolitana I",1512,"Macrorregional I","Pará","0.665"
