CODMUNRES,ANO,TOTAL_DE_NASCIDOS_VIVOS,NASCIDOS_VIVOS_COM_BAIXO_PESO,NASCIDOS_VIVOS_PREMATUROS,NASCIDOS_VIVOS_TERMO_PRECOCE
110146,2018,52.0,2.0,5.0,17.0
110146,2019,40.0,0.0,2.0,11.0
110146,2020,39.0,2.0,2.0,16.0
110147,2012,43.0,4.0,3.0,13.0
110147,2013,39.0,1.0,6.0,16.0
110147,2014,47.0,2.0,7.0,10.0
110147,2015,40.0,4.0,5.0,16.0
110147,2016,56.0,4.0,6.0,22.0
110147,2017,63.0,7.0,11.0,25.0
110147,2018,38.0,2.0,3.0,10.0
110147,2019,43.0,5.0,5.0,19.0
110147,2020,38.0,2.0,3.0,17.0
110148,2012,64.0,3.0,1.0,32.0
110148,2013,61.0,5.0,4.0,24.0
110148,2014,59.0,3.0,4.0,24.0
110148,2015,73.0,11.0,10.0,34.0
110148,2016,54.0,3.0,5.0,21.0
110148,2017,75.0,3.0,9.0,26.0
110148,2018,54.0,0.0,4.0,23.0
110148,2019,54.0,4.0,5.0,19.0
110148,2020,65.0,2.0,3.0,33.0
110149,2012,246.0,10.0,16.0,48.0
110149,2013,266.0,12.0,15.0,89.0
110149,2014,308.0,10.0,25.0,115.0
110149,2015,319.0,18.0,27.0,96.0
110149,2016,305.0,17.0,23.0,102.0
110149,2017,333.0,20.0,18.0,92.0
110149,2018,327.0,39.0,41.0,103.0
110149,2019,303.0,16.0,24.0,77.0
110149,2020,266.0,11.0,21.0,88.0
110150,2012,190.0,5.0,10.0,50.0
110150,2013,184.0,12.0,18.0,45.0
110150,2014,170.0,10.0,16.0,38.0
110150,2015,188.0,9.0,10.0,64.0
110150,2016,171.0,8.0,14.0,52.0
110150,2017,188.0,8.0,15.0,49.0
110150,2018,154.0,7.0,10.0,45.0
110150,2019,168.0,10.0,14.0,44.0
110150,2020,162.0,12.0,10.0,59.0
110155,2012,57.0,6.0,5.0,18.0
110155,2013,80.0,3.0,5.0,31.0
110155,2014,69.0,1.0,1.0,13.0
110155,2015,71.0,9.0,7.0,24.0
110155,2016,59.0,1.0,5.0,28.0
110155,2017,58.0,3.0,5.0,20.0
110155,2018,60.0,2.0,4.0,30.0
110155,2019,64.0,4.0,7.0,27.0
110155,2020,42.0,2.0,5.0,20.0
110160,2012,133.0,9.0,12.0,38.0
110160,2013,106.0,3.0,6.0,28.0
110160,2014,125.0,7.0,6.0,40.0
110160,2015,107.0,4.0,3.0,35.0
110160,2016,131.0,8.0,8.0,38.0
110160,2017,146.0,10.0,2.0,53.0
110160,2018,131.0,10.0,5.0,47.0
110160,2019,97.0,4.0,7.0,27.0
110160,2020,115.0,9.0,12.0,43.0
110170,2012,146.0,13.0,14.0,26.0
110170,2013,150.0,9.0,16.0,37.0
110170,2014,122.0,9.0,14.0,31.0
110170,2015,138.0,7.0,10.0,30.0
110170,2016,151.0,9.0,20.0,49.0
110170,2017,150.0,11.0,18.0,51.0
110170,2018,139.0,6.0,16.0,40.0
110170,2019,170.0,13.0,13.0,67.0
110170,2020,143.0,5.0,16.0,77.0
110175,2012,86.0,7.0,9.0,26.0
110175,2013,89.0,11.0,8.0,26.0
110175,2014,128.0,4.0,3.0,37.0
110175,2015,106.0,14.0,11.0,30.0
110175,2016,110.0,4.0,8.0,36.0
110175,2017,86.0,2.0,5.0,31.0
110175,2018,91.0,6.0,2.0,29.0
110175,2019,93.0,4.0,8.0,32.0
110175,2020,72.0,4.0,11.0,26.0
110180,2012,83.0,7.0,7.0,27.0
110180,2013,107.0,3.0,7.0,39.0
110180,2014,90.0,7.0,5.0,18.0
110180,2015,63.0,5.0,4.0,19.0
110180,2016,98.0,8.0,10.0,41.0
110180,2017,79.0,3.0,5.0,27.0
110180,2018,95.0,3.0,3.0,36.0
110180,2019,81.0,3.0,4.0,24.0
110180,2020,62.0,8.0,7.0,23.0
120001,2012,253.0,23.0,45.0,49.0
120001,2013,258.0,18.0,34.0,38.0
120001,2014,269.0,20.0,32.0,48.0
120001,2015,217.0,11.0,23.0,49.0
120001,2016,222.0,16.0,15.0,61.0
120001,2017,256.0,20.0,33.0,65.0
120001,2018,216.0,15.0,27.0,56.0
120001,2019,257.0,15.0,29.0,72.0
120001,2020,237.0,25.0,31.0,67.0
120005,2012,219.0,9.0,23.0,42.0
120005,2013,213.0,9.0,21.0,35.0
120005,2014,196.0,12.0,30.0,39.0
120005,2015,238.0,10.0,30.0,60.0
120005,2016,190.0,11.0,20.0,41.0
120005,2017,248.0,22.0,42.0,36.0
120005,2018,264.0,20.0,21.0,41.0
120005,2019,266.0,12.0,27.0,31.0
120005,2020,215.0,20.0,35.0,28.0
120010,2012,505.0,28.0,75.0,109.0
120010,2013,530.0,38.0,76.0,120.0
120010,2014,547.0,46.0,81.0,136.0
120010,2015,531.0,41.0,65.0,114.0
120010,2016,490.0,40.0,69.0,112.0
120010,2017,570.0,35.0,70.0,128.0
120010,2018,540.0,26.0,61.0,131.0
120010,2019,540.0,24.0,55.0,148.0
120010,2020,527.0,49.0,85.0,139.0
120013,2012,198.0,14.0,28.0,43.0
120013,2013,202.0,19.0,29.0,40.0
120013,2014,242.0,21.0,25.0,58.0
120013,2015,248.0,11.0,31.0,51.0
120013,2016,248.0,19.0,30.0,52.0
120013,2017,307.0,28.0,39.0,88.0
120013,2018,306.0,36.0,53.0,70.0
